YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,WINTER ,SPRING,SUMMER,AUTUMN,1ST HALF,2ND HALF,
1999,38.2,41.0,44.5,56.5,67.3,74.7,83.0,79.7,70.0,57.2,53.1,42.0,58.9,41.2,56.1,79.1,60.1,53.7,64.2,
2000,35.9,42.5,51.7,55.6,67.8,74.7,74.7,75.1,67.6,60.2,46.7,31.8,57.0,40.1,58.4,74.8,58.2,54.7,59.4,
2001,35.5,40.9,43.8,57.6,65.9,75.2,75.3,78.9,68.9,59.7,54.8,45.5,58.5,36.1,55.8,76.5,61.1,53.2,63.9,
2002,41.6,42.6,47.7,60.0,65.2,76.1,80.9,81.1,73.0,58.7,47.1,37.2,59.3,43.2,57.6,79.4,59.6,55.5,63.0,
2003,31.1,33.7,47.1,55.1,61.7,71.4,77.8,78.8,70.5,57.5,53.1,39.2,56.4,34.0,54.6,76.0,60.4,50.0,62.8,
2004,30.6,38.2,48.8,57.4,71.8,73.4,78.6,75.9,71.6,58.3,51.0,40.1,58.0,36.0,59.3,76.0,60.3,53.4,62.6,
2005,36.1,39.6,43.1,57.3,61.9,75.7,80.5,80.1,75.0,60.5,50.2,36.4,58.0,38.6,54.1,78.8,61.9,52.3,63.8,
2006,43.1,38.6,47.9,59.5,65.1,74.5,80.4,80.6,67.8,57.3,50.7,44.2,59.1,39.4,57.5,78.5,58.6,54.8,63.5,
2007,40.7,30.9,47.7,53.6,67.8,76.1,79.3,79.7,72.9,67.1,49.8,41.8,59.0,38.6,56.4,78.4,63.3,52.8,65.1,
2008,40.0,41.0,49.0,58.9,64.7,77.9,80.8,77.9,74.0,58.9,46.6,40.3,59.2,40.9,57.5,78.9,59.8,55.3,63.1,
2009,31.7,39.8,45.2,57.0,65.5,73.7,76.9,79.9,70.2,58.5,52.2,37.9,57.4,37.3,55.9,76.8,60.3,52.2,62.6,
2010,35.3,34.2,51.2,60.9,69.4,80.6,83.1,80.2,75.5,61.6,50.5,34.6,59.8,35.8,60.5,81.3,62.5,55.3,64.3,
2011,33.7,41.8,45.6,58.8,68.4,78.8,84.5,80.0,71.3,58.4,52.4,45.0,59.9,36.7,57.6,81.1,60.7,54.5,65.3,
2012,40.8,44.4,56.8,58.3,71.4,76.3,84.0,81.0,72.2,61.0,46.6,45.4,61.5,43.4,62.2,80.4,59.9,58.0,65.0,
2013,40.3,38.4,43.8,58.9,66.7,76.5,81.2,77.1,71.3,62.4,46.6,42.3,58.8,41.4,56.5,78.3,60.1,54.1,63.5,
2014,32.2,37.8,42.9,57.3,68.5,77.2,79.4,77.7,73.8,62.9,48.0,43.7,58.5,37.4,56.2,78.1,61.6,52.7,64.3,
2015,35.6,30.3,45.3,59.4,73.2,78.1,81.5,79.3,74.9,58.9,53.7,51.2,60.1,36.5,59.3,79.6,62.5,53.7,66.6,
2016,34.9,39.9,53.5,56.9,63.9,76.2,82.7,82.7,76.0,63.1,52.6,41.8,60.4,42.0,58.1,80.5,63.9,54.2,66.5,
2017,42.1,47.7,47.2,63.8,65.5,77.3,81.7,77.4,72.5,64.9,49.8,39.2,60.8,43.9,58.8,78.8,62.4,57.3,64.3,
2018,35.7,45.3,43.6,54.9,72.4,76.2,80.7,81.0,75.5,62.6,46.5,43.5,59.8,40.1,57.0,79.3,61.5,54.7,65.0,
2019,37.2,42.2,46.8,62.4,71.0,76.4,82.1,80.1,76.5,64.1,46.1,42.2,60.6,41.0,60.1,79.5,62.2,56.0,65.2,
2020,42.4,43.8,53.2,55.3,63.8,77.0,83.9,79.6,70.2,61.9,54.3,41.4,60.6,42.8,57.4,80.2,62.1,55.9,65.2,
